bioguide_id,full_name,party,office,state,district,senate_class,state_rank,terms_served,years_served,start_date,end_date,first_name,middle_name,last_name,birthdate,years_lived,gender,religion,thomas_id,govtrack_id,opensecrets_id,lis_id,votesmart_id,cspan_id,icpsr_id,fec_ids,latest_fec_id,updated_at
A000016,Thomas Gerstle Abernethy,Democrat,rep,MS,1,,,26,620.82,1943-01-06 00:00:00,1973-01-03 00:00:00,Thomas,Gerstle,Abernethy,1903-05-16,113.5,M,,,400678,,,,,13,,,2016-10-13T15:13:41.622088
A000017,James George Abourezk,Democrat,sen,SD,,2,,0,,1971-01-21 00:00:00,1979-01-03 00:00:00,James,George,Abourezk,1931-02-24,85.7,M,,01268,400679,,,,,13000,,,2016-10-13T15:13:41.622088
A000018,Bella Savitzky Abzug,Democrat,rep,NY,20,,,2,43.73,1971-01-21 00:00:00,1977-01-03 00:00:00,Bella,Savitzky,Abzug,1920-07-24,96.3,F,,00003,400680,,,,,13001,,,2016-10-13T15:13:41.622088
A000019,Ernest Francis Acheson,Republican,rep,PA,24,,,10,551.73,1895-12-02 00:00:00,1909-03-03 00:00:00,Ernest,Francis,Acheson,1855-09-19,161.2,M,,,400681,,,,,14,,,2016-10-13T15:13:41.622088
A000020,Ephraim Leister Acker,Democrat,rep,PA,6,,,0,,1871-03-04 00:00:00,1873-03-03 00:00:00,Ephraim,Leister,Acker,1827-01-11,189.9,M,,,400682,,,,,15,,,2016-10-13T15:13:41.622088
A000021,Ernest Robinson Ackerman,Republican,rep,NJ,5,,,10,431.96,1919-05-19 00:00:00,1933-03-03 00:00:00,Ernest,Robinson,Ackerman,1863-06-17,153.4,M,,,400683,,,,,16,,,2016-10-13T15:13:41.622088
A000022,Gary L. Ackerman,Democrat,rep,NY,5,,,26,101.05,1983-01-03 00:00:00,2013-01-03 00:00:00,Gary,L.,Ackerman,1942-11-19,74.0,M,Jewish,00004,400003,N00001143,,26970,1002061,15000,H4NY07011,H4NY07011,2016-10-13T15:13:41.622088
A000023,Joseph Hayes Acklen,Democrat,rep,LA,3,,,0,,1877-10-15 00:00:00,1881-03-03 00:00:00,Joseph,Hayes,Acklen,1850-05-20,166.5,M,,,400684,,,,,17,,,2016-10-13T15:13:41.622088
A000024,Edwin Ross Adair,Republican,rep,IN,4,,,16,398.44,1951-01-03 00:00:00,1971-01-03 00:00:00,Edwin,Ross,Adair,1907-12-14,108.9,M,,,400685,,,,,18,,,2016-10-13T15:13:41.622088
A000025,Jackson Leroy Adair,Democrat,rep,IL,15,,,0,,1933-03-09 00:00:00,1937-01-03 00:00:00,Jackson,Leroy,Adair,1887-02-23,129.7,M,,,400686,,,,,19,,,2016-10-13T15:13:41.622088
A000026,John Adair,Jackson,rep,KY,7,,,0,,1805-12-02 00:00:00,1833-03-03 00:00:00,John,,Adair,1757-01-09,259.9,M,,,400687,,,,,20,,,2016-10-13T15:13:41.622088
A000027,John Alfred McDowell Adair,Democrat,rep,IN,8,,,6,307.9,1907-12-02 00:00:00,1917-03-03 00:00:00,John,Alfred McDowell,Adair,1864-12-22,151.9,M,,,400688,,,,,21,,,2016-10-13T15:13:41.622088
A000028,Alva Blanchard Adams,Democrat,sen,CO,,3,,2,79.08,1923-12-03 00:00:00,1941-12-31 00:00:00,Alva,Blanchard,Adams,1875-10-29,141.1,M,,,400689,,,,,22,,,2016-10-13T15:13:41.622088
A000030,Benjamin Adams,Federalist,rep,MA,11,,,2,198.23,1815-12-04 00:00:00,1821-03-03 00:00:00,Benjamin,,Adams,1764-12-16,252.0,M,,,400691,,,,,24,,,2016-10-13T15:13:41.622088
A000031,Brockman Adams,Democrat,sen,WA,,3,,12,190.64,1965-01-04 00:00:00,1993-01-03 00:00:00,Brockman,,Adams,1927-01-13,89.8,M,,00005,400692,,S180,,,10700,,,2016-10-13T15:13:41.622088
A000032,Charles Francis Adams,Republican,rep,MA,3,,,0,,1859-12-05 00:00:00,1863-03-03 00:00:00,Charles,Francis,Adams,1807-08-18,209.3,M,,,400693,,,,,25,,,2016-10-13T15:13:41.622088
A000033,Charles Henry Adams,Republican,rep,NY,16,,,0,,1875-12-06 00:00:00,1877-03-03 00:00:00,Charles,Henry,Adams,1824-04-10,192.6,M,,,400694,,,,,26,,,2016-10-13T15:13:41.622088
A000034,George Everett Adams,Republican,rep,IL,4,,,4,256.38,1883-12-03 00:00:00,1891-03-03 00:00:00,George,Everett,Adams,1840-06-18,176.4,M,,,400695,,,,,27,,,2016-10-13T15:13:41.622088
A000035,George Madison Adams,Democrat,rep,KY,9,,,4,289.92,1867-03-04 00:00:00,1875-03-03 00:00:00,George,Madison,Adams,1837-12-20,178.9,M,,,400696,,,,,28,,,2016-10-13T15:13:41.622088
A000036,Green Adams,Ind. Republican-Democrat,rep,KY,6,,,0,,1847-12-06 00:00:00,1861-03-03 00:00:00,Green,,Adams,1812-08-20,204.3,M,,,400697,,,,,29,,,2016-10-13T15:13:41.622088
A000037,Henry Cullen Adams,Republican,rep,WI,2,,,0,,1903-11-09 00:00:00,1907-03-03 00:00:00,Henry,Cullen,Adams,1850-11-28,166.0,M,,,400698,,,,,30,,,2016-10-13T15:13:41.622088
A000038,John Adams,Jackson,rep,NY,8,,,0,,1815-12-04 00:00:00,1835-03-03 00:00:00,John,,Adams,1778-08-26,238.3,M,,,400700,,,,,32,,,2016-10-13T15:13:41.622088
A000040,John Joseph Adams,Democrat,rep,NY,7,,,0,,1883-12-03 00:00:00,1887-03-03 00:00:00,John,Joseph,Adams,1848-09-16,168.2,M,,,400701,,,,,33,,,2016-10-13T15:13:41.622088
A000041,John Quincy Adams,Whig,rep,MA,8,,,16,1366.6,1803-10-17 00:00:00,1849-03-03 00:00:00,John,Quincy,Adams,1767-07-11,249.4,M,,,400702,,,,,34,,,2016-10-13T15:13:41.622088
A000042,Parmenio Adams,Adams,rep,NY,29,,,0,,1823-12-01 00:00:00,1827-03-03 00:00:00,Parmenio,,Adams,1776-09-09,240.3,M,,,400703,,,,,35,,,2016-10-13T15:13:41.622088
A000043,Robert Huntington Adams,Jackson,sen,MS,,2,,0,,1830-01-01 00:00:00,1831-03-03 00:00:00,Robert,Huntington,Adams,,,M,,,400704,,,,,37,,,2016-10-13T15:13:41.622088
A000044,Robert Adams,Republican,rep,PA,2,,,10,561.95,1893-08-07 00:00:00,1907-03-03 00:00:00,Robert,,Adams,1849-02-26,167.7,M,,,400705,,,,,36,,,2016-10-13T15:13:41.622088
A000046,Sherman Adams,Republican,rep,NH,2,,,0,,1945-01-03 00:00:00,1947-01-03 00:00:00,Sherman,,Adams,1899-01-08,117.8,M,,,400707,,,,,39,,,2016-10-13T15:13:41.622088
A000047,Silas Adams,Republican,rep,KY,11,,,0,,1893-08-07 00:00:00,1895-03-03 00:00:00,Silas,,Adams,1839-02-09,177.8,M,,,400708,,,,,40,,,2016-10-13T15:13:41.622088
A000048,Stephen Adams,Democrat,sen,MS,,1,,0,,1845-12-01 00:00:00,1857-03-03 00:00:00,Stephen,,Adams,1807-10-17,209.1,M,,,400709,,,,,41,,,2016-10-13T15:13:41.622088
A000050,Wilbur Louis Adams,Democrat,rep,DE,0,,,0,,1933-03-09 00:00:00,1935-01-03 00:00:00,Wilbur,Louis,Adams,1884-10-23,132.1,M,,,400711,,,,,43,,,2016-10-13T15:13:41.622088
A000051,William Charles Adamson,Democrat,rep,GA,4,,,18,910.46,1897-03-15 00:00:00,1919-03-03 00:00:00,William,Charles,Adamson,1854-08-13,162.3,M,,,400712,,,,,44,,,2016-10-13T15:13:41.622088
A000052,Joseph Patrick Addabbo,Democrat,rep,NY,6,,,22,371.62,1961-01-03 00:00:00,1987-01-03 00:00:00,Joseph,Patrick,Addabbo,1925-03-17,91.6,M,,00006,400713,,,,,10500,,,2016-10-13T15:13:41.622088
A000053,William Addams,Jackson,rep,PA,7,,,0,,1825-12-05 00:00:00,1829-03-03 00:00:00,William,,Addams,1777-04-11,239.7,M,,,400714,,,,,45,,,2016-10-13T15:13:41.622088
A000054,Hugh Joseph Addonizio,Democrat,rep,NJ,11,,,10,289.07,1949-01-03 00:00:00,1963-01-03 00:00:00,Hugh,Joseph,Addonizio,1914-01-31,102.8,M,,,400715,,,,,46,,,2016-10-13T15:13:41.622088
A000055,Robert B. Aderholt,Republican,rep,AL,4,,,16,30.12,1997-01-07 00:00:00,2017-01-03 00:00:00,Robert,B.,Aderholt,1965-07-22,51.3,M,Protestant,01460,400004,N00003028,,441,45516,29701,H6AL04098,H6AL04098,2016-10-13T15:13:41.622088
A000056,Asa Adgate,Republican,rep,NY,12,,,0,,1815-12-04 00:00:00,1817-03-03 00:00:00,Asa,,Adgate,1767-11-17,249.1,M,,,400716,,,,,47,,,2016-10-13T15:13:41.622088
A000057,Charles Adkins,Republican,rep,IL,19,,,4,172.3,1925-12-07 00:00:00,1933-03-03 00:00:00,Charles,,Adkins,1863-02-07,153.8,M,,,400717,,,,,48,,,2016-10-13T15:13:41.622088
A000058,Garnett Bowditch Adrain,Anti-Lecompton Democrat,rep,NJ,3,,,0,,1857-12-07 00:00:00,1861-03-03 00:00:00,Garnett,Bowditch,Adrain,1815-12-15,201.0,M,,,400718,,,,,49,,,2016-10-13T15:13:41.622088
A000060,John Alexander Ahl,Democrat,rep,PA,16,,,0,,1857-12-07 00:00:00,1859-03-03 00:00:00,John,Alexander,Ahl,1813-08-16,203.3,M,,,400720,,,,,50,,,2016-10-13T15:13:41.622088
A000061,David Wyatt Aiken,Democrat,rep,SC,3,,,6,397.39,1877-10-15 00:00:00,1887-03-03 00:00:00,David,Wyatt,Aiken,1828-03-17,188.7,M,,,400721,,,,,51,,,2016-10-13T15:13:41.622088
A000062,George David Aiken,Republican,sen,VT,,3,,8,213.25,1941-01-03 00:00:00,1975-01-03 00:00:00,George,David,Aiken,1892-08-20,124.2,M,,01270,400722,,,,,52,,,2016-10-13T15:13:41.622088
A000063,William Aiken,Democrat,rep,SC,2,,,2,162.22,1851-12-01 00:00:00,1857-03-03 00:00:00,William,,Aiken,1806-01-28,210.8,M,,,400723,,,,,53,,,2016-10-13T15:13:41.622088
A000064,Wyatt Aiken,Democrat,rep,SC,3,,,10,512.31,1903-11-09 00:00:00,1917-03-03 00:00:00,Wyatt,,Aiken,1863-12-14,152.9,M,,,400724,,,,,54,,,2016-10-13T15:13:41.622088
A000065,William David Blakeslee Ainey,Republican,rep,PA,14,,,0,,1911-04-04 00:00:00,1915-03-03 00:00:00,William,David Blakeslee,Ainey,1864-04-08,152.6,M,,,400725,,,,,55,,,2016-10-13T15:13:41.622088
A000066,George Ainslie,Democrat,rep,ID,-1,,,0,,1879-03-18 00:00:00,1883-03-03 00:00:00,George,,Ainslie,1838-10-30,178.1,M,,,400726,,,,,,,,2016-10-13T15:13:41.622088
A000067,Lucien Lester Ainsworth,Democrat,rep,IA,3,,,0,,1875-12-06 00:00:00,1877-03-03 00:00:00,Lucien,Lester,Ainsworth,1831-06-21,185.4,M,,,400727,,,,,57,,,2016-10-13T15:13:41.622088
A000068,David Demerest Aitken,Republican,rep,MI,6,,,0,,1893-08-07 00:00:00,1897-03-03 00:00:00,David,Demerest,Aitken,1853-09-05,163.2,M,,,400728,,,,,58,,,2016-10-13T15:13:41.622088
A000069,Daniel K. Akaka,Democrat,sen,HI,,1,,18,111.99,1977-01-04 00:00:00,2013-01-03 00:00:00,Daniel,Kahikina,Akaka,1924-09-11,92.2,M,Congregationalist,00007,300001,N00007653,S213,53286,8704,14400,S0HI00084,S0HI00084,2016-10-13T15:13:41.622088
A000070,Thomas Peter Akers,American,rep,MO,5,,,0,,1855-12-03 00:00:00,1857-03-03 00:00:00,Thomas,Peter,Akers,1828-10-04,188.2,M,,,400729,,,,,59,,,2016-10-13T15:13:41.622088
A000071,Theron Akin,Progressive Republican,rep,NY,25,,,0,,1911-04-04 00:00:00,1913-03-03 00:00:00,Theron,,Akin,1855-05-23,161.5,M,,,400730,,,,,60,,,2016-10-13T15:13:41.622088
A000072,Walter Hugh Albaugh,Republican,rep,OH,4,,,0,,1937-01-05 00:00:00,1939-01-03 00:00:00,Walter,Hugh,Albaugh,1890-01-02,126.9,M,,,400731,,,,,61,,,2016-10-13T15:13:41.622088
A000073,Carl Bert Albert,Democrat,rep,OK,3,,,26,568.99,1947-01-03 00:00:00,1977-01-03 00:00:00,Carl,Bert,Albert,1908-05-10,108.5,M,,00008,400732,,,,,62,,,2016-10-13T15:13:41.622088
A000074,William Julian Albert,Republican,rep,MD,5,,,0,,1873-12-01 00:00:00,1875-03-03 00:00:00,William,Julian,Albert,1816-08-04,200.3,M,,,400733,,,,,63,,,2016-10-13T15:13:41.622088
A000075,Nathaniel Albertson,Democrat,rep,IN,1,,,0,,1849-12-03 00:00:00,1851-03-03 00:00:00,Nathaniel,,Albertson,1800-06-10,216.5,M,,,400734,,,,,64,,,2016-10-13T15:13:41.622088
A000076,Donald Joseph Albosta,Democrat,rep,MI,10,,,2,35.77,1979-01-15 00:00:00,1985-01-03 00:00:00,Donald,Joseph,Albosta,1925-12-05,90.9,M,,00009,400735,,,,,14600,,,2016-10-13T15:13:41.622088
A000077,Charles Albright,Republican,rep,PA,-1,,,0,,1873-12-01 00:00:00,1875-03-03 00:00:00,Charles,,Albright,1830-12-13,186.0,M,,,400736,,,,,65,,,2016-10-13T15:13:41.622088
A000078,Charles Jefferson Albright,Ind. Republican-Democrat,rep,OH,17,,,0,,1855-12-03 00:00:00,1857-03-03 00:00:00,Charles,Jefferson,Albright,1816-05-09,200.6,M,,,400737,,,,,66,,,2016-10-13T15:13:41.622088
A000079,James Lusk Alcorn,Republican,sen,MS,,2,,0,,1871-03-04 00:00:00,1877-03-03 00:00:00,James,Lusk,Alcorn,1816-11-04,200.1,M,,,400738,,,,,67,,,2016-10-13T15:13:41.622088
A000080,John Duffy Alderson,Democrat,rep,WV,3,,,2,124.52,1889-12-02 00:00:00,1895-03-03 00:00:00,John,Duffy,Alderson,1854-11-29,162.0,M,,,400739,,,,,68,,,2016-10-13T15:13:41.622088
A000081,Cyrus Aldrich,Republican,rep,MN,-1,,,0,,1859-12-05 00:00:00,1863-03-03 00:00:00,Cyrus,,Aldrich,1808-06-18,208.5,M,,,400740,,,,,69,,,2016-10-13T15:13:41.622088
A000082,James Franklin Aldrich,Republican,rep,IL,1,,,0,,1893-08-07 00:00:00,1897-03-03 00:00:00,James,Franklin,Aldrich,1853-04-06,163.6,M,,,400741,,,,,70,,,2016-10-13T15:13:41.622088
A000083,Nelson Wilmarth Aldrich,Republican,sen,RI,,1,,10,573.94,1879-03-18 00:00:00,1911-03-03 00:00:00,Nelson,Wilmarth,Aldrich,1841-11-06,175.1,M,,,400742,,,,,71,,,2016-10-13T15:13:41.622088
A000084,Richard Steere Aldrich,Republican,rep,RI,2,,,6,258.46,1923-12-03 00:00:00,1933-03-03 00:00:00,Richard,Steere,Aldrich,1884-02-29,132.7,M,,,400743,,,,,72,,,2016-10-13T15:13:41.622088
A000085,Truman Heminway Aldrich,Republican,rep,AL,9,,,0,,1895-12-02 00:00:00,1897-03-03 00:00:00,Truman,Heminway,Aldrich,1848-10-17,168.1,M,,,400744,,,,,73,,,2016-10-13T15:13:41.622088
A000086,William Aldrich,Republican,rep,IL,1,,,2,136.33,1877-10-15 00:00:00,1883-03-03 00:00:00,William,,Aldrich,1820-01-19,196.9,M,,,400745,,,,,74,,,2016-10-13T15:13:41.622088
A000087,William Farrington Aldrich,Republican,rep,AL,4,,,2,118.19,1895-12-02 00:00:00,1901-03-03 00:00:00,William,Farrington,Aldrich,1853-03-11,163.7,M,,,400746,,,,,75,,,2016-10-13T15:13:41.622088
A000088,Arthur William Aleshire,Democrat,rep,OH,7,,,0,,1937-01-05 00:00:00,1939-01-03 00:00:00,Arthur,William,Aleshire,1900-02-15,116.7,M,,,400747,,,,,76,,,2016-10-13T15:13:41.622088
A000089,Adam Rankin Alexander,Jackson,rep,TN,9,,,0,,1823-12-01 00:00:00,1827-03-03 00:00:00,Adam,Rankin,Alexander,1781-11-01,235.1,M,,,400748,,,,,77,,,2016-10-13T15:13:41.622088
A000090,Armstead Milton Alexander,Democrat,rep,MO,2,,,0,,1883-12-03 00:00:00,1885-03-03 00:00:00,Armstead,Milton,Alexander,1834-05-26,182.5,M,,,400749,,,,,78,,,2016-10-13T15:13:41.622088
A000091,De Alva Stanwood Alexander,Republican,rep,NY,36,,,10,545.29,1897-03-15 00:00:00,1911-03-03 00:00:00,De,Alva Stanwood,Alexander,1846-07-17,170.4,M,,,400750,,,,,79,,,2016-10-13T15:13:41.622088
A000092,Evan Shelby Alexander,Republican,rep,NC,10,,,0,,1806-02-24 00:00:00,1809-03-03 00:00:00,Evan,Shelby,Alexander,,,M,,,412132,,,,,80,,,2016-10-13T15:13:41.622088
A000093,Henry Porteous Alexander,Whig,rep,NY,17,,,0,,1849-12-03 00:00:00,1851-03-03 00:00:00,Henry,Porteous,Alexander,1801-09-13,215.2,M,,,400751,,,,,81,,,2016-10-13T15:13:41.622088
A000094,Hugh Quincy Alexander,Democrat,rep,NC,9,,,6,173.44,1953-01-03 00:00:00,1963-01-03 00:00:00,Hugh,Quincy,Alexander,1911-08-07,105.3,M,,,400752,,,,,82,,,2016-10-13T15:13:41.622088
A000095,James Alexander,Whig,rep,OH,11,,,0,,1837-09-04 00:00:00,1839-03-03 00:00:00,James,,Alexander,1789-10-17,227.1,M,,,400753,,,,,83,,,2016-10-13T15:13:41.622088
A000096,John Alexander,Republican,rep,OH,2,,,0,,1813-05-24 00:00:00,1817-03-03 00:00:00,John,,Alexander,1777-04-16,239.7,M,,,400754,,,,,84,,,2016-10-13T15:13:41.622088
A000097,John Grant Alexander,Republican,rep,MN,3,,,0,,1939-01-03 00:00:00,1941-01-03 00:00:00,John,Grant,Alexander,1893-07-16,123.3,M,,,400755,,,,,85,,,2016-10-13T15:13:41.622088
A000098,Joshua Willis Alexander,Democrat,rep,MO,3,,,10,495.64,1907-12-02 00:00:00,1921-03-03 00:00:00,Joshua,Willis,Alexander,1852-01-22,164.8,M,,,400756,,,,,86,,,2016-10-13T15:13:41.622088
A000099,Mark Alexander,Jackson,rep,VA,4,,,10,931.14,1819-12-06 00:00:00,1833-03-03 00:00:00,Mark,,Alexander,1792-02-07,224.8,M,,,400757,,,,,87,,,2016-10-13T15:13:41.622088
A000100,Nathaniel Alexander,Republican,rep,NC,10,,,0,,1803-03-04 00:00:00,1805-03-03 00:00:00,Nathaniel,,Alexander,1756-03-05,260.8,M,,,400758,,,,,88,,,2016-10-13T15:13:41.622088
A000102,Sydenham Benoni Alexander,Democrat,rep,NC,6,,,0,,1891-12-07 00:00:00,1895-03-03 00:00:00,Sydenham,Benoni,Alexander,1840-12-08,176.0,M,,,400760,,,,,90,,,2016-10-13T15:13:41.622088
A000103,William Vollie Alexander,Democrat,rep,AR,1,,,20,277.83,1969-01-03 00:00:00,1993-01-03 00:00:00,William,Vollie,Alexander,1934-01-16,82.8,M,,00010,400761,,,,,12000,,,2016-10-13T15:13:41.622088
A000104,Julius Caesar Alford,Whig,rep,GA,-1,,,2,176.73,1835-12-07 00:00:00,1843-03-03 00:00:00,Julius,Caesar,Alford,1799-05-10,217.6,M,,,400762,,,,,91,,,2016-10-13T15:13:41.622088
A000105,Thomas Dale Alford,Democrat,rep,AR,5,,,0,,1959-01-07 00:00:00,1963-01-03 00:00:00,Thomas,Dale,Alford,1916-01-28,100.8,M,,,400763,,,,,92,,,2016-10-13T15:13:41.622088
A000106,Bruce Reynolds Alger,Republican,rep,TX,5,,,6,167.38,1955-01-05 00:00:00,1965-01-03 00:00:00,Bruce,Reynolds,Alger,1918-06-12,98.4,M,,,400764,,,,,93,,,2016-10-13T15:13:41.622088
A000107,Russell Alexander Alger,Republican,sen,MI,,2,,0,,1902-01-01 00:00:00,1907-03-03 00:00:00,Russell,Alexander,Alger,1836-02-27,180.7,M,,,400765,,,,,94,,,2016-10-13T15:13:41.622088
A000108,Chilton Allan,Whig,rep,KY,10,,,2,182.22,1831-12-05 00:00:00,1837-03-03 00:00:00,Chilton,,Allan,1786-04-06,230.7,M,,,400766,,,,,95,,,2016-10-13T15:13:41.622088
A000109,Wayne A. Allard,Republican,sen,CO,,2,,6,47.32,1991-01-03 00:00:00,2009-01-03 00:00:00,Wayne,A.,Allard,1943-12-02,72.9,M,Protestant,00011,300003,N00009082,S250,26783,,29108,S6CO00168,S6CO00168,2016-10-13T15:13:41.622088
A000110,James Frank Allee,Republican,sen,DE,,2,,0,,1903-11-09 00:00:00,1907-03-03 00:00:00,James,Frank,Allee,1857-12-02,159.0,M,,,400767,,,,,96,,,2016-10-13T15:13:41.622088
A000111,Alfred Gaither Allen,Democrat,rep,OH,2,,,2,102.84,1911-04-04 00:00:00,1917-03-03 00:00:00,Alfred,Gaither,Allen,1867-07-23,149.3,M,,,400768,,,,,97,,,2016-10-13T15:13:41.622088
A000112,Amos Lawrence Allen,Republican,rep,ME,1,,,8,435.67,1899-12-04 00:00:00,1911-03-03 00:00:00,Amos,Lawrence,Allen,1837-03-17,179.7,M,,,400769,,,,,98,,,2016-10-13T15:13:41.622088
A000114,Asa Leonard Allen,Democrat,rep,LA,8,,,12,406.93,1937-01-05 00:00:00,1953-01-03 00:00:00,Asa,Leonard,Allen,1891-01-05,125.9,M,,,400771,,,,,100,,,2016-10-13T15:13:41.622088
A000115,Charles Allen,Free Soil,rep,MA,5,,,0,,1849-12-03 00:00:00,1853-03-03 00:00:00,Charles,,Allen,1797-08-09,219.3,M,,,400772,,,,,101,,,2016-10-13T15:13:41.622088
A000116,Charles Herbert Allen,Republican,rep,MA,8,,,0,,1885-12-07 00:00:00,1889-03-03 00:00:00,Charles,Herbert,Allen,1848-04-15,168.6,M,,,400773,,,,,102,,,2016-10-13T15:13:41.622088
A000117,Clarence Emir Allen,Republican,rep,UT,1,,,0,,1895-12-02 00:00:00,1897-03-03 00:00:00,Clarence,Emir,Allen,1852-09-08,164.2,M,,,400774,,,,,103,,,2016-10-13T15:13:41.622088
A000118,Clifford Robertson Allen,Democrat,rep,TN,5,,,0,,1975-01-14 00:00:00,1979-01-03 00:00:00,Clifford,Robertson,Allen,1912-01-06,104.8,M,,00012,400775,,,,,14286,,,2016-10-13T15:13:41.622088
A000119,Edward Payson Allen,Republican,rep,MI,2,,,0,,1887-12-05 00:00:00,1891-03-03 00:00:00,Edward,Payson,Allen,1839-10-28,177.1,M,,,400776,,,,,104,,,2016-10-13T15:13:41.622088
A000120,Elisha Hunt Allen,Whig,rep,ME,8,,,0,,1841-05-31 00:00:00,1843-03-03 00:00:00,Elisha,Hunt,Allen,1804-01-28,212.9,M,,,400777,,,,,105,,,2016-10-13T15:13:41.622088
A000121,George Felix Allen,Republican,sen,VA,,1,,0,,1991-11-05 00:00:00,2007-01-03 00:00:00,George,Felix,Allen,1952-03-08,64.6,M,Presbyterian,00013,300004,N00009957,S274,22404,,29148,,,2016-10-13T15:13:41.622088
A000122,Heman Allen,Republican,rep,VT,0,,,0,,1817-12-01 00:00:00,1819-03-03 00:00:00,Heman,,Allen,1779-02-23,237.8,M,,,400778,,,,,107,,,2016-10-13T15:13:41.622088
A000123,Heman Allen,Whig,rep,VT,4,,,4,360.95,1831-12-05 00:00:00,1839-03-03 00:00:00,Heman,,Allen,1777-06-14,239.5,M,,,400779,,,,,106,,,2016-10-13T15:13:41.622088
A000124,Henry Crosby Allen,Republican,rep,NJ,6,,,0,,1905-12-04 00:00:00,1907-03-03 00:00:00,Henry,Crosby,Allen,1872-05-13,144.5,M,,,400780,,,,,108,,,2016-10-13T15:13:41.622088
A000125,Henry Dixon Allen,Democrat,rep,KY,2,,,0,,1899-12-04 00:00:00,1903-03-03 00:00:00,Henry,Dixon,Allen,1854-06-24,162.4,M,,,400781,,,,,109,,,2016-10-13T15:13:41.622088
A000126,Henry Justin Allen,Republican,sen,KS,,3,,0,,1929-04-15 00:00:00,1931-03-03 00:00:00,Henry,Justin,Allen,1868-09-11,148.2,M,,,400782,,,,,110,,,2016-10-13T15:13:41.622088
