Date,Lobbyist,Lobbyist_Firm,Official,Official_Department,Lobbyist_Client,MunicipalDecision,DesiredOutcome,FileNumber,LobbyingSubjectArea
04/14/2010,"Smolens, H. Marcia",Hms Associates,"Rahaim, John","Planning, Department Of","Urban Realty Co., Inc.",City Place,Discussion regarding the City Place project on Market Street.,None,Planning and Building Permits
04/26/2010,"Smolens, H. Marcia",Hms Associates,"Chiu, David",Board Of Supervisors,Sf Waterfront Partners Ii,8 Washington,Discussion regarding proposed project at 8 Washington Street.,None,Planning and Building Permits
02/09/2010,"Smolens, H. Marcia",Hms Associates,"Rahaim, John","Planning, Department Of",Millennium Partners,706 Mission Street,Preliminary meeting to discuss potential building project.,None,Planning and Building Permits
08/04/2014,"Smith, Ontario",Pacific Gas And Electric Company,"Carlin, Michael",Public Utilities Commission,Pacific Gas And Electric Company,Interconnection Agreement,Settlement,,Public Utilities
08/12/2014,"Smith, Ontario",Pacific Gas And Electric Company,"Carlin, Michael",Public Utilities Commission,Pacific Gas And Electric Company,Crossbore,Settlement,,Public Utilities
08/13/2014,"Smith, Ontario",Pacific Gas And Electric Company,"Carlin, Michael",Public Utilities Commission,Pacific Gas And Electric Company,Franchise Fee,Settlement,,Public Utilities
08/25/2014,"Smith, Ontario",Pacific Gas And Electric Company,"Benson, Brad",Port Commission,Pacific Gas And Electric Company,Embarcadero/potrero,License Agreement,,Public Utilities
08/28/2014,"Smith, Ontario",Pacific Gas And Electric Company,"Russell, Rosanna",Public Utilities Commission,Pacific Gas And Electric Company,Revocable Permits,Alteration of SFPUC permit requirements,,Public Utilities
07/31/2014,"Smith, Kimberly",Kls Consulting,"Cohen, Malia",Board Of Supervisors,De Anza Properties,Outreach,General outreach re: Safeway store issues.,,Social Services
02/11/2013,"Smith, Kimberly",Kls Consulting,"Cohen, Malia",Board Of Supervisors,De Anza Properties,Zoning Issues,Conversation regarding zoning issues in the Showplace Square Area,,Planning and Building Permits
11/05/2012,"Smith, Kimberly",Kls Consulting,"Dufty, Bevan",Mayor Office Of The,Safeway Inc,Homeless Outreach,Outreach and monitoring of activities of homeless population around Safeway store sites,,Public Safety
10/11/2012,"Smith, Kimberly",Kls Consulting,"Mar, Eric",Board Of Supervisors,Safeway Inc,Introduction,None at this time,None at this time,Economic Development
02/09/2011,"Smith, Kimberly",Kls Consulting,"Cohen, Malia",Board Of Supervisors,De Anza Properties,Introduction,None at this time,None at this time,Economic Development
02/24/2011,"Smith, Kimberly",Kls Consulting,"Mar, Eric",Board Of Supervisors,Safeway Inc,Conditional Use Application,Approval of Conditional Use Application for store development.,Not yet assigned,Planning and Building Permits
03/10/2010,"Smith, Kimberly",Kls Consulting,"Mar, Eric",Board Of Supervisors,Safeway Inc,Conditional Use Application,Approval of Conditional Use Application for store development.,Not yet assigned,Planning and Building Permits
02/09/2010,"Smith, Kimberly",Kls Consulting,"Costello, Cassandra",Board Of Supervisors,Safeway Inc,Conditional Use Application,Approval of Conditional Use Application for store development.,Not yet assigned,Planning and Building Permits
02/07/2014,"Smith, Alexis",Barbary Coast Consulting,"Fong, Rodney",Planning Commission,Rag & Bone,Cup Approval,Conditional Use Permit approval for rag & bone clothing store on Fillmore Street,2013.1432C,Economic Development
02/07/2014,"Smith, Alexis",Barbary Coast Consulting,"Wu, Cindy",Planning Commission,Rag & Bone,Cup Approval,Conditional Use Permit approval for rag & bone clothing store on Fillmore Street,2013.1432C,Economic Development
02/07/2014,"Smith, Alexis",Barbary Coast Consulting,"Antonini, Michael",Planning Commission,Rag & Bone,Cup Approval,Conditional Use Permit approval for rag & bone clothing store on Fillmore Street,2013.1432C,Economic Development
02/07/2014,"Smith, Alexis",Barbary Coast Consulting,"Borden, Gwyneth",Planning Commission,Rag & Bone,Cup Approval,Conditional Use Permit approval for rag & bone clothing store on Fillmore Street,2013.1432C,Economic Development
02/07/2014,"Smith, Alexis",Barbary Coast Consulting,"Hillis, Rich",Planning Commission,Rag & Bone,Cup Approval,Conditional Use Permit approval for rag & bone clothing store on Fillmore Street,2013.1432C,Economic Development
02/07/2014,"Smith, Alexis",Barbary Coast Consulting,"Moore, Kathrine",Planning Commission,Rag & Bone,Cup Approval,Conditional Use Permit approval for rag & bone clothing store on Fillmore Street,2013.1432C,Economic Development
02/07/2014,"Smith, Alexis",Barbary Coast Consulting,"Sugaya, Hishashi",Planning Commission,Rag & Bone,Cup Approval,Conditional Use Permit approval for rag & bone clothing store on Fillmore Street,2013.1432C,Economic Development
02/10/2014,"Smith, Alexis",Barbary Coast Consulting,"Borden, Gwyneth",Planning Commission,Rag & Bone,Cup Approval,Conditional Use Permit approval for rag & bone clothing store on Fillmore Street,2013.1432C,Economic Development
02/11/2014,"Smith, Alexis",Barbary Coast Consulting,"Wu, Cindy",Planning Commission,Rag & Bone,Cup Approval,Conditional Use Permit approval for rag & bone clothing store on Fillmore Street,2013.1432C,Economic Development
02/11/2014,"Smith, Alexis",Barbary Coast Consulting,"Borden, Gwyneth",Planning Commission,Rag & Bone,Cup Approval,Conditional Use Permit approval for rag & bone clothing store on Fillmore Street,2013.1432C,Economic Development
02/12/2014,"Smith, Alexis",Barbary Coast Consulting,"Fong, Rodney",Planning Commission,Rag & Bone,Cup Approval,Conditional Use Permit approval for rag & bone clothing store on Fillmore Street,2013.1432C,Economic Development
02/18/2014,"Smith, Alexis",Barbary Coast Consulting,"Fong, Rodney",Planning Commission,Rag & Bone,Cup Approval,Conditional Use Permit approval for rag & bone clothing store on Fillmore Street,2013.1432C,Economic Development
02/18/2014,"Smith, Alexis",Barbary Coast Consulting,"Wu, Cindy",Planning Commission,Rag & Bone,Cup Approval,Conditional Use Permit approval for rag & bone clothing store on Fillmore Street,2013.1432C,Economic Development
02/18/2014,"Smith, Alexis",Barbary Coast Consulting,"Antonini, Michael",Planning Commission,Rag & Bone,Cup Approval,Conditional Use Permit approval for rag & bone clothing store on Fillmore Street,2013.1432C,Economic Development
02/18/2014,"Smith, Alexis",Barbary Coast Consulting,"Borden, Gwyneth",Planning Commission,Rag & Bone,Cup Approval,Conditional Use Permit approval for rag & bone clothing store on Fillmore Street,2013.1432C,Economic Development
02/18/2014,"Smith, Alexis",Barbary Coast Consulting,"Hillis, Rich",Planning Commission,Rag & Bone,Cup Approval,Conditional Use Permit approval for rag & bone clothing store on Fillmore Street,2013.1432C,Economic Development
02/18/2014,"Smith, Alexis",Barbary Coast Consulting,"Moore, Kathrine",Planning Commission,Rag & Bone,Cup Approval,Conditional Use Permit approval for rag & bone clothing store on Fillmore Street,2013.1432C,Economic Development
02/19/2014,"Smith, Alexis",Barbary Coast Consulting,"Hillis, Rich",Planning Commission,Rag & Bone,Cup Approval,Conditional Use Permit approval for rag & bone clothing store on Fillmore Street,2013.1432C,Economic Development
02/20/2014,"Smith, Alexis",Barbary Coast Consulting,"Fong, Rodney",Planning Commission,Rag & Bone,Cup Approval,Conditional Use Permit approval for rag & bone clothing store on Fillmore Street,2013.1432C,Economic Development
02/20/2014,"Smith, Alexis",Barbary Coast Consulting,"Hillis, Rich",Planning Commission,Rag & Bone,Cup Approval,Conditional Use Permit approval for rag & bone clothing store on Fillmore Street,2013.1432C,Economic Development
02/21/2014,"Smith, Alexis",Barbary Coast Consulting,"Wu, Cindy",Planning Commission,Rag & Bone,Cup Approval,Conditional Use Permit approval for rag & bone clothing store on Fillmore Street,2013.1432C,Economic Development
09/10/2013,"Smith, Alexis",Barbary Coast Consulting,"Farrell, Mark",Board Of Supervisors,Rag & Bone,Introduction,Introduce rag & bone as a company and its proposal for a new store  on Fillmore Street,,Economic Development
07/08/2011,"Smith, Alexis",Barbary Coast Consulting,"Kim, Jane",Board Of Supervisors,Orange Barrel Media,Sign Regulations,To discuss City signage regulations.,N/A,Economic Development
06/04/2010,"Smith, Alexis",Barbary Coast Consulting,"Kane , Jocelyn",Entertainment Commission,"Skills Dj Workshop, Inc.",Entertainment Event,To facilitate discussion between Skills DJ and the City on an event on 7/31/10 at the Regency.,N/A,Public Safety
06/11/2010,"Smith, Alexis",Barbary Coast Consulting,"Kane , Jocelyn",Entertainment Commission,"Skills Dj Workshop, Inc.",Entertainment Event,To facilitate discussion between Skills DJ and the City on an event on 7/31/10 at the Regency.,N/A,Public Safety
06/17/2010,"Smith, Alexis",Barbary Coast Consulting,"Kane , Jocelyn",Entertainment Commission,"Skills Dj Workshop, Inc.",Entertainment Event,To facilitate discussion between Skills DJ and the City on an event on 7/31/10 at the Regency.,N/A,Public Safety
06/21/2010,"Smith, Alexis",Barbary Coast Consulting,"Kane , Jocelyn",Entertainment Commission,"Skills Dj Workshop, Inc.",Entertainment Event,To facilitate discussion between Skills DJ and the City on an event on 7/31/10 at the Regency.,N/A,Public Safety
06/22/2010,"Smith, Alexis",Barbary Coast Consulting,"Kane , Jocelyn",Entertainment Commission,"Skills Dj Workshop, Inc.",Entertainment Event,To facilitate discussion between Skills DJ and the City on an event on 7/31/10 at the Regency.,N/A,Public Safety
06/22/2010,"Smith, Alexis",Barbary Coast Consulting,"Chiu, David",Board Of Supervisors,"Skills Dj Workshop, Inc.",Entertainment Event,To facilitate discussion between Skills DJ and the City on an event on 7/31/10 at the Regency.,N/A,Public Safety
06/25/2010,"Smith, Alexis",Barbary Coast Consulting,"Chiu, David",Board Of Supervisors,"Skills Dj Workshop, Inc.",Entertainment Event,To facilitate discussion between Skills DJ and the City on an event on 7/31/10 at the Regency.,N/A,Public Safety
06/28/2010,"Smith, Alexis",Barbary Coast Consulting,"Chiu, David",Board Of Supervisors,"Skills Dj Workshop, Inc.",Entertainment Event,To facilitate discussion between Skills DJ and the City on an event on 7/31/10 at the Regency.,N/A,Public Safety
06/30/2010,"Smith, Alexis",Barbary Coast Consulting,"Chiu, David",Board Of Supervisors,"Skills Dj Workshop, Inc.",Entertainment Event,To facilitate discussion between Skills DJ and the City on an event on 7/31/10 at the Regency.,N/A,Public Safety
01/28/2014,"Shearburn, John W.",Warburg Pincus Llc,"Schwartz, Glen",Retirement Board San Francisco Employees,Warburg Pincus Llc,"Warburg Pincus Energy, L.p.",Investment,NA,City Employee Benefits
01/28/2014,"Shearburn, John W.",Warburg Pincus Llc,"Wong, Cynthia",Retirement Board San Francisco Employees,Warburg Pincus Llc,"Warburg Pincus Energy, L.p.",Investment,NA,City Employee Benefits
01/28/2014,"Shearburn, John W.",Warburg Pincus Llc,"Lo, Justin",Retirement Board San Francisco Employees,Warburg Pincus Llc,"Warburg Pincus Energy, L.p.",Investment,NA,City Employee Benefits
12/17/2013,"Shearburn, John W.",Warburg Pincus Llc,"Schwartz, Glen",Retirement Board San Francisco Employees,Warburg Pincus Llc,"Warburg Pincus Energy, L.p.",Investment,NA,City Employee Benefits
11/20/2013,"Shearburn, John W.",Warburg Pincus Llc,"Schwartz, Glen",Retirement Board San Francisco Employees,Warburg Pincus Llc,"Warburg Pincus Energy, L.p.",Investment,NA,City Employee Benefits
11/20/2013,"Shearburn, John W.",Warburg Pincus Llc,"Kemp, Tanya",Retirement Board San Francisco Employees,Warburg Pincus Llc,"Warburg Pincus Energy, L.p.",Investment,NA,City Employee Benefits
05/01/2012,"Shearburn, John W.",Warburg Pincus Llc,"Schwartz, Glen",Retirement Board San Francisco Employees,Warburg Pincus Llc,Warburg Pincus Fund Xi,Investment,N/A,City Employee Benefits
05/01/2012,"Shearburn, John W.",Warburg Pincus Llc,"Kemp, Tanya",Retirement Board San Francisco Employees,Warburg Pincus Llc,Warburg Pincus Fund Xi,Investment,N/A,City Employee Benefits
07/07/2014,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,"Shaw, Robert",Retirement Board San Francisco Employees,Ubs Global Asset Management (Americas) Inc.,General Discussion - Investment Management,Prospective client - UBS Global Sustainable Equity strategy,,City Employee Benefits
07/17/2014,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,"Shaw, Robert",Retirement Board San Francisco Employees,Ubs Global Asset Management (Americas) Inc.,General Discussion - Investment Management,Prospective client - UBS Global Sustainable Equity strategy,,City Employee Benefits
06/16/2014,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,"Shaw, Robert",Retirement Board San Francisco Employees,Ubs Global Asset Management (Americas) Inc.,General Discussion - Investment Management,Prospective client - UBS Global Sustainable Equity strategy,,City Employee Benefits
04/14/2014,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,"Shaw, Robert",Retirement Board San Francisco Employees,Ubs Global Asset Management (Americas) Inc.,General Discussion - Investment Management,Prospective client - UBS Global Sustainable Equity strategy,,City Employee Benefits
04/28/2013,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,"Lee, Tony",Retirement Board San Francisco Employees,Ubs Global Asset Management (Americas) Inc.,General Discussion - Investment Management,Prospective client - UBS Global Equity Product,,City Employee Benefits
02/04/2013,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,"Lee, Tony",Retirement Board San Francisco Employees,Ubs Global Asset Management (Americas) Inc.,General Discussion - Investment Management,Prospective client - UBS Global Equity Product,,City Employee Benefits
01/07/2013,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,"Shaw, Robert",Retirement Board San Francisco Employees,Ubs Global Asset Management (Americas) Inc.,General Discussion - Investment Management,Prospective client - UBS Global Equity Product,,City Employee Benefits
01/16/2013,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,"Shaw, Robert",Retirement Board San Francisco Employees,Ubs Global Asset Management (Americas) Inc.,General Discussion - Investment Management,Prospective client - UBS Global Equity Product,,City Employee Benefits
01/16/2013,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,"Lee, Tony",Retirement Board San Francisco Employees,Ubs Global Asset Management (Americas) Inc.,General Discussion - Investment Management,Prospective client - UBS Global Equity Product,,City Employee Benefits
01/18/2013,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,"Lee, Tony",Retirement Board San Francisco Employees,Ubs Global Asset Management (Americas) Inc.,General Discussion - Investment Management,Prospective client - UBS Global Equity Product,,City Employee Benefits
05/31/2012,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,"Shaw, Robert",Retirement Board San Francisco Employees,Ubs Global Asset Management (Americas) Inc.,General Discussions.,Prospective client.,,City Employee Benefits
05/29/2012,"Alberti, Adam","Singer Associates, Inc.","Cohen, Malia",Board Of Supervisors,Sims Metal Management,Proposed Metal Theft Legislation,amendment,,Public Safety
04/20/2012,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,"Shaw, Robert",Retirement Board San Francisco Employees,Ubs Global Asset Management (Americas) Inc.,General Discussions.,Prospective client.,,City Employee Benefits
02/24/2012,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,"Shaw, Robert",Retirement Board San Francisco Employees,Retirement Board San Francisco Employees,General Discussions.,Prospective client.,,City Employee Benefits
01/20/2012,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,"Amelio, Gary",Retirement Board San Francisco Employees,Ubs Global Asset Management (Americas) Inc.,General Discussions.,Prospective client.,,City Employee Benefits
12/14/2011,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,"Amelio, Gary",Retirement Board San Francisco Employees,Ubs Global Asset Management (Americas) Inc.,General Discussions.,Prospective client.,,City Employee Benefits
12/15/2011,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,"Amelio, Gary",Retirement Board San Francisco Employees,Ubs Global Asset Management (Americas) Inc.,General Discussions.,Prospective client.,,City Employee Benefits
10/05/2011,"Sanders, Elizabeth",Ubs Global Asset Management (Americas) Inc.,"Amelio, Gary",Retirement Board San Francisco Employees,Ubs Global Asset Management (Americas) Inc.,General Discussions.,Prospective client.,,City Employee Benefits
02/18/2014,"Rutland, Patty-Jo",Patty-Jo Rutland Consulting Llc,"Cheong, Eva",Airport Commission,Uber,Permitting Process,permit compliance issues,,Technology
02/21/2014,"Rutland, Patty-Jo",Patty-Jo Rutland Consulting Llc,"Wiener, Scott",Board Of Supervisors,Uber,Ride Share,informational meeting about ride share,,Technology
02/24/2014,"Rutland, Patty-Jo",Patty-Jo Rutland Consulting Llc,"Tang, Katy",Board Of Supervisors,Uber,Ride Share,informational meeting about ride share,,Technology
02/25/2014,"Rutland, Patty-Jo",Patty-Jo Rutland Consulting Llc,"Chiu, David",Board Of Supervisors,Uber,Ride Share,informational meeting about ride share,,Technology
02/25/2014,"Rutland, Patty-Jo",Patty-Jo Rutland Consulting Llc,"Kelly, Margaux",Board Of Supervisors,Uber,Ride Share,informational meeting about ride share,,Technology
03/10/2014,"Rutland, Patty-Jo",Patty-Jo Rutland Consulting Llc,"Potter, Julian",Airport Commission,Uber,Ride Share,informational meeting about ride share,,Technology
03/12/2014,"Rutland, Patty-Jo",Patty-Jo Rutland Consulting Llc,"Potter, Julian",Airport Commission,Uber,Ride Share,informational meeting about ride share,,Technology
03/18/2014,"Rutland, Patty-Jo",Patty-Jo Rutland Consulting Llc,"Reskin, Ed",Municipal Transportation Agency,Uber,Ride Share,informational meeting about ride share,,Technology
03/20/2014,"Rutland, Patty-Jo",Patty-Jo Rutland Consulting Llc,"Avalos, John",Board Of Supervisors,Uber,Ride Share,informational meeting about ride share,,Technology
03/20/2014,"Rutland, Patty-Jo",Patty-Jo Rutland Consulting Llc,"Breed, London",Board Of Supervisors,Uber,Ride Share,informational meeting about ride share,,Technology
03/21/2014,"Rutland, Patty-Jo",Patty-Jo Rutland Consulting Llc,"Cheong, Eva",Airport Commission,Uber,Ride Share,informational meeting about ride share,,Technology
08/12/2013,"Alberti, Adam","Singer Associates, Inc.","Campos, David",Board Of Supervisors,Sims Metal Management,Proposed Metal Theft Legislation,amendment,,Public Safety
08/12/2013,"Alberti, Adam","Singer Associates, Inc.","Avalos, John",Board Of Supervisors,Sims Metal Management,Proposed Metal Theft Legislation,amendment,,Public Safety
07/10/2013,"Alberti, Adam","Singer Associates, Inc.","Kim, Jane",Board Of Supervisors,Four Seasons Residences,706 Mission Street Project Approvals,reject,,Planning and Building Permits
