Date,Lobbyist,Lobbyist_Firm,Amount,Lobbyist_Client
06/30/2013,"Cheng, Jay",San Francisco Association Of Realtors,$22.92,San Francisco Association Of Realtors
01/31/2013,"Clemens, Alex",Barbary Coast Consulting,$4393.75,Jewish Home
06/30/2012,"Clemens, Alex",Barbary Coast Consulting,$3568.75,Jewish Home
05/31/2012,"Clemens, Alex",Barbary Coast Consulting,$2906.25,Jewish Home
04/30/2012,"Clemens, Alex",Barbary Coast Consulting,$7218.75,Jewish Home
02/29/2012,"Clemens, Alex",Barbary Coast Consulting,$2056.25,Jewish Home
01/31/2012,"Clemens, Alex",Barbary Coast Consulting,$5056.25,Jewish Home
12/31/2011,"Clemens, Alex",Barbary Coast Consulting,$1968.75,Jewish Home
11/30/2011,"Clemens, Alex",Barbary Coast Consulting,$4041.25,Jewish Home
07/31/2011,"Clemens, Alex",Barbary Coast Consulting,$6483.75,Recology
04/30/2011,"Clemens, Alex",Barbary Coast Consulting,$10624.25,Recology
09/01/2010,"Clemens, Alex",Barbary Coast Consulting,$11471.25,Recology
08/01/2010,"Clemens, Alex",Barbary Coast Consulting,$9318.75,Recology
07/01/2010,"Clemens, Alex",Barbary Coast Consulting,$7691.25,Recology
04/01/2010,"Clemens, Alex",Barbary Coast Consulting,$2393.75,Fisher Foundation
02/01/2010,"Clemens, Alex",Barbary Coast Consulting,$1106.25,Fisher Foundation
02/01/2010,"Clemens, Alex",Barbary Coast Consulting,$17868.75,Masons
07/01/2014,"Colosimo, Louis","Comvest Advisors, Llc",$10.82,"Comvest Advisors, Llc"
05/21/2013,"Colosimo, Louis","Comvest Advisors, Llc",$36.06,"Comvest Advisors, Llc"
05/24/2013,"Colosimo, Louis","Comvest Advisors, Llc",$36.06,"Comvest Advisors, Llc"
04/30/2014,"Custar, Kristin",The Jordan Company Lp,$2.92,"The Jordan Company, L.p."
03/31/2014,"Custar, Kristin",The Jordan Company Lp,$11.68,"The Jordan Company, L.p."
02/28/2014,"Custar, Kristin",The Jordan Company Lp,$2.92,"The Jordan Company, L.p."
01/31/2014,"Custar, Kristin",The Jordan Company Lp,$11.68,"The Jordan Company, L.p."
12/31/2013,"Custar, Kristin",The Jordan Company Lp,$2.92,"The Jordan Company, L.p."
11/30/2013,"Custar, Kristin",The Jordan Company Lp,$8.76,"The Jordan Company, L.p."
10/15/2013,"Custar, Kristin",The Jordan Company Lp,$2.92,"The Jordan Company, L.p."
10/18/2013,"Custar, Kristin",The Jordan Company Lp,$2.92,"The Jordan Company, L.p."
09/06/2013,"Custar, Kristin",The Jordan Company Lp,$2.92,"The Jordan Company, L.p."
09/10/2013,"Custar, Kristin",The Jordan Company Lp,$2.92,"The Jordan Company, L.p."
08/19/2013,"Custar, Kristin",The Jordan Company Lp,$2.92,"The Jordan Company, L.p."
08/29/2013,"Custar, Kristin",The Jordan Company Lp,$2.92,"The Jordan Company, L.p."
08/30/2013,"Custar, Kristin",The Jordan Company Lp,$2.92,"The Jordan Company, L.p."
07/02/2013,"Custar, Kristin",The Jordan Company Lp,$2.92,"The Jordan Company, L.p."
07/12/2013,"Custar, Kristin",The Jordan Company Lp,$2.92,"The Jordan Company, L.p."
07/23/2013,"Custar, Kristin",The Jordan Company Lp,$2.92,"The Jordan Company, L.p."
05/06/2013,"Custar, Kristin",The Jordan Company Lp,$2.92,"The Jordan Company, L.p."
05/08/2013,"Custar, Kristin",The Jordan Company Lp,$2.92,"The Jordan Company, L.p."
05/14/2013,"Custar, Kristin",The Jordan Company Lp,$2.92,"The Jordan Company, L.p."
05/21/2013,"Custar, Kristin",The Jordan Company Lp,$2.92,"The Jordan Company, L.p."
05/30/2013,"Custar, Kristin",The Jordan Company Lp,$2.92,"The Jordan Company, L.p."
04/24/2013,"Custar, Kristin",The Jordan Company Lp,$2.92,"The Jordan Company, L.p."
01/04/2013,"Custar, Kristin",The Jordan Company Lp,$2.92,"The Jordan Company, L.p."
03/18/2013,"Custar, Kristin",The Jordan Company Lp,$5.84,"The Jordan Company, L.p."
03/20/2013,"Custar, Kristin",The Jordan Company Lp,$2.92,"The Jordan Company, L.p."
01/23/2012,"Custar, Kristin",The Jordan Company Lp,$14.58,"The Jordan Company, L.p."
01/24/2012,"Custar, Kristin",The Jordan Company Lp,$2.92,"The Jordan Company, L.p."
07/26/2012,"Custar, Kristin",The Jordan Company Lp,$14.58,"The Jordan Company, L.p."
07/27/2012,"Custar, Kristin",The Jordan Company Lp,$2.92,"The Jordan Company, L.p."
11/04/2012,"Custar, Kristin",The Jordan Company Lp,$14.58,"The Jordan Company, L.p."
08/31/2014,"Emblidge, G. Scott",Moscone Emblidge Sater & Otis,$4508.12,Aids Healthcare Foundation
04/21/2014,"Emblidge, G. Scott",Moscone Emblidge Sater & Otis,$3516.98,San Francisco Federal Credit Union
10/31/2013,"Gladstone, Brett",Hanson Bridgett Llp,$3799.05,"Fiore, Ron"
10/31/2013,"Gladstone, Brett",Hanson Bridgett Llp,$6959.25,Towerstream Corporation
09/30/2013,"Gladstone, Brett",Hanson Bridgett Llp,$5754.88,Victor Vitlin
09/30/2013,"Gladstone, Brett",Hanson Bridgett Llp,$8045.65,Ron Fiore
09/30/2013,"Gladstone, Brett",Hanson Bridgett Llp,$6917.99,Towerstream Corporation
08/08/2013,"Gladstone, Brett",Hanson Bridgett Llp,$40607.36,"Northern California Presbyterian Homes And Services, Inc."
08/08/2013,"Gladstone, Brett",Hanson Bridgett Llp,$12490.47,Towerstream Corporation
08/08/2013,"Gladstone, Brett",Hanson Bridgett Llp,$7299.42,Victor Vitlin
07/22/2013,"Gladstone, Brett",Hanson Bridgett Llp,$21728.36,"Northern California Presbyterian Homes And Services, Inc."
07/29/2013,"Gladstone, Brett",Hanson Bridgett Llp,$1778.49,Ron Fiore
06/07/2013,"Gladstone, Brett",Hanson Bridgett Llp,$2088.76,Graham Green
06/13/2013,"Gladstone, Brett",Hanson Bridgett Llp,$4342.75,18th Street Waterfront Homes Llc
06/30/2013,"Gladstone, Brett",Hanson Bridgett Llp,$5137.35,"Northern California Presbyterian Homes And Services, Inc."
06/30/2013,"Gladstone, Brett",Hanson Bridgett Llp,$13266.25,Ron Fiore
05/24/2013,"Gladstone, Brett",Hanson Bridgett Llp,$15193.04,Towerstream Corporation
05/24/2013,"Gladstone, Brett",Hanson Bridgett Llp,$6286.02,Howard Weston
05/24/2013,"Gladstone, Brett",Hanson Bridgett Llp,$5732.58,Victor Vitlin
04/16/2013,"Gladstone, Brett",Hanson Bridgett Llp,$19141.27,Towerstream Corporation
03/18/2013,"Gladstone, Brett",Hanson Bridgett Llp,$17813.14,Howard Weston
01/31/2013,"Gladstone, Brett",Gladstone & Associates,$25965.31,Joel Campos
01/31/2013,"Gladstone, Brett",Gladstone & Associates,$1909.25,"Natali, Inc."
01/31/2013,"Gladstone, Brett",Gladstone & Associates,$26857.43,Towerstream Corporation
04/30/2013,"Rossi, Jaime",Barbary Coast Consulting,$3113.75,Adco
03/31/2012,"Rossi, Jaime",Barbary Coast Consulting,$1656.25,California Music And Culture Association
01/31/2012,"Rossi, Jaime",Barbary Coast Consulting,$1468.25,California Music And Culture Association
05/31/2011,"Rossi, Jaime",Barbary Coast Consulting,$43793.33,California Pacific Medical Center
02/28/2011,"Rossi, Jaime",Barbary Coast Consulting,$25583.33,California Pacific Medical Center
01/31/2011,"Rossi, Jaime",Barbary Coast Consulting,$29428.08,California Pacific Medical Center
12/01/2010,"Rossi, Jaime",Barbary Coast Consulting,$19257.33,California Pacific Medical Center
11/01/2010,"Rossi, Jaime",Barbary Coast Consulting,$33046.67,California Pacific Medical Center
11/01/2010,"Rossi, Jaime",Barbary Coast Consulting,$2056.25,San Francisco Carts And Concessions
10/01/2010,"Rossi, Jaime",Barbary Coast Consulting,$39098.33,California Pacific Medical Center
08/01/2010,"Rossi, Jaime",Barbary Coast Consulting,$1043.75,San Francisco Carts And Concessions
08/01/2010,"Rossi, Jaime",Barbary Coast Consulting,$37973.74,California Pacific Medical Center
06/01/2010,"Rossi, Jaime",Barbary Coast Consulting,$32126.67,California Pacific Medical Center
09/01/2010,"Rossi, Jaime",Barbary Coast Consulting,$43401.67,California Pacific Medical Center
07/01/2010,"Rossi, Jaime",Barbary Coast Consulting,$243.75,San Francisco Carts And Concessions
07/01/2010,"Rossi, Jaime",Barbary Coast Consulting,$32733.33,California Pacific Medical Center
05/01/2010,"Rossi, Jaime",Barbary Coast Consulting,$4031.25,1095 Market Street Holding Llc
08/31/2014,"Hausmann, Peter","Fortress Capital Formation, Llc",$72.11,"Fortress Capital Formation, Llc"
08/31/2014,"Jung, Mary",San Francisco Association Of Realtors,$520.83,San Francisco Association Of Realtors
07/31/2014,"Jung, Mary",San Francisco Association Of Realtors,$520.83,San Francisco Association Of Realtors
06/30/2014,"Jung, Mary",San Francisco Association Of Realtors,$520.83,San Francisco Association Of Realtors
05/31/2014,"Jung, Mary",San Francisco Association Of Realtors,$520.83,San Francisco Association Of Realtors
03/31/2014,"Jung, Mary",San Francisco Association Of Realtors,$2083.33,San Francisco Association Of Realtors
02/28/2014,"Jung, Mary",San Francisco Association Of Realtors,$2604.17,San Francisco Association Of Realtors
12/31/2013,"Jung, Mary",San Francisco Association Of Realtors,$2083.33,San Francisco Association Of Realtors
10/31/2013,"Jung, Mary",San Francisco Association Of Realtors,$1041.67,San Francisco Association Of Realtors
09/30/2013,"Jung, Mary",San Francisco Association Of Realtors,$1302.08,San Francisco Association Of Realtors
08/31/2013,"Jung, Mary",San Francisco Association Of Realtors,$260.42,San Francisco Association Of Realtors
06/30/2013,"Jung, Mary",Mary Jung,$260.42,San Francisco Association Of Realtors
07/31/2013,"Jung, Mary",Mary Jung,$20.83,San Francisco Association Of Realtors
01/31/2012,"Kilberg, Aaron E.",Ubs Global Asset Management (Americas) Inc.,$30.05,Ubs Global Asset Management (Americas) Inc.
08/07/2013,"Langer, Stefanie",Stefanie Langer,$4.05,"Lbc Credit Management, L.p."
08/08/2013,"Langer, Stefanie",Stefanie Langer,$4.05,"Lbc Credit Management, L.p."
08/12/2013,"Langer, Stefanie",Stefanie Langer,$4.05,"Lbc Credit Management, L.p."
01/16/2013,"Langer, Stefanie",Stefanie Langer,$4.05,"Lbc Credit Management, L.p."
03/01/2013,"Langer, Stefanie",Stefanie Langer,$4.05,"Lbc Credit Management, L.p."
04/09/2013,"Langer, Stefanie",Stefanie Langer,$4.05,"Lbc Credit Management, L.p."
04/10/2013,"Langer, Stefanie",Stefanie Langer,$4.05,"Lbc Credit Management, L.p."
04/11/2013,"Langer, Stefanie",Stefanie Langer,$4.05,"Lbc Credit Management, L.p."
04/12/2013,"Langer, Stefanie",Stefanie Langer,$4.05,"Lbc Credit Management, L.p."
07/11/2014,"Owen, David",Airbnb,$84.13,Airbnb
07/25/2014,"Owen, David",Airbnb,$84.13,Airbnb
07/31/2014,"Owen, David",Airbnb,$168.26,Airbnb
07/31/2014,"Parrinello, James R.",Nielsen Merksamer Parrinello Gross & Leoni Llp,$1550.25,Coalition For Better Housing
07/31/2014,"Parrinello, James R.",Nielsen Merksamer Parrinello Gross & Leoni Llp,$1550.25,San Francisco Apartment Association
06/29/2012,"Peterson, Rich","Goodyear-Peterson, Llc",$2438.71,Royal Motors Of San Francisco
02/28/2014,"Wright, Christopher",Committee On Jobs,$283.48,Committee On Jobs
11/30/2013,"Wright, Christopher",Committee On Jobs,$354.35,Committee On Jobs
08/31/2013,"Wright, Christopher",Committee On Jobs,$354.35,Committee On Jobs
04/30/2013,"Wright, Christopher",Committee On Jobs,$425.22,Committee On Jobs
12/31/2012,"Wright, Christopher",Committee On Jobs,$425.22,Committee On Jobs
09/30/2012,"Wright, Christopher",Committee On Jobs,$336.55,Committee On Jobs
07/31/2012,"Wright, Christopher",Committee On Jobs,$2423.16,Committee On Jobs
04/30/2012,"Wright, Christopher",Committee On Jobs,$2349.55,Committee On Jobs
03/31/2012,"Wright, Christopher",Committee On Jobs,$1682.75,Committee On Jobs
02/29/2012,"Wright, Christopher",Committee On Jobs,$201.93,Committee On Jobs
01/31/2012,"Wright, Christopher",Committee On Jobs,$201.92,Committee On Jobs
11/30/2011,"Wright, Christopher",Committee On Jobs,$201.93,Committee On Jobs
09/30/2011,"Wright, Christopher",Committee On Jobs,$269.24,Committee On Jobs
09/11/2013,"Grijalva, Ruben",Firechiefs.com,$2241.54,Fireforceone
12/31/2011,"Kaufman, Jon",Solem & Associates,$7661.29,"Airis Holdings, Llc"
05/29/2012,"Madden, Marc",Sims Metal Management,$78.12,Sims Metal Management
04/01/2010,"Solem, Don",Solem & Associates,$13906.25,"Waste Management, Inc."
03/31/2010,"Solem, Don",Solem & Associates,$6406.25,"Waste Management, Inc."
05/31/2011,"Stidham, Robert Timothy","The Putnam Advisory Company, Llc",$84.13,"The Putnam Advisory Company, Llc"
11/01/2010,"Edgette, Frieda",Barbary Coast Consulting,$1718.75,California Music And Culture Association
11/28/2011,"Harrington, Tony",Oaktree Capital Management L.p. And Its Affiliated,$10.42,"Oaktree Capital Management L.p. And Its Affiliated Entity, Ocm Investments, Llc"
08/30/2011,"Harrington, Tony",Oaktree Capital Management L.p. And Its Affiliated,$5.21,"Oaktree Capital Management L.p. And Its Affiliated Entity, Ocm Investments, Llc"
05/31/2011,"Mcneely, Kenneth P.",At&t,$749.33,At&t
05/31/2011,"Mcneely, Kenneth P.",At&t,$842.99,At&t
04/30/2011,"Mcneely, Kenneth P.",At&t,$842.99,At&t
03/31/2011,"Mcneely, Kenneth P.",At&t,$655.42,At&t California
07/31/2014,"Tourk, Alex",Ground Floor Public Affairs,$5000.00,"Square, Inc."
07/31/2014,"Tourk, Alex",Ground Floor Public Affairs,$5000.00,"Square, Inc."
07/31/2014,"Tourk, Alex",Ground Floor Public Affairs,$5000.00,San Francisco Police Officer's Assoc.
07/31/2014,"Tourk, Alex",Ground Floor Public Affairs,$5000.00,San Francisco Police Officer's Assoc.
08/31/2014,"Tourk, Alex",Ground Floor Public Affairs,$3000.00,St. Vincent De Paul
09/01/2014,"Lesser, Philip",Philip Lesser,$2500.00,Jcn Developers Llc
09/01/2014,"Lesser, Philip",Philip Lesser,$2500.00,"Knowles, Jack"
09/01/2014,"Lesser, Philip",Philip Lesser,$2500.00,The Ramp Restaurant
06/02/2014,"Junius, Andrew","Reuben, Junius & Rose, Llp",$55.00,"Rww Properties, Llc"
06/13/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$300.00,Contest Promotions
03/05/2014,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$105.00,Lincoln Property Company
03/25/2014,"Junius, Andrew","Reuben, Junius & Rose, Llp",$250.00,Menlo Equities
07/18/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$420.00,Boston Properties
03/07/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$60.00,Tmg Partners
06/06/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$60.00,Beacon Capital Partners
08/06/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$120.00,Chris Durkin
03/26/2014,"Junius, Andrew","Reuben, Junius & Rose, Llp",$1300.00,Raintree Partners
06/16/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$300.00,Contest Promotions
08/06/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$60.00,Jeremy Ricks
06/04/2014,"Junius, Andrew","Reuben, Junius & Rose, Llp",$55.00,Raintree Partners
04/22/2014,"Junius, Andrew","Reuben, Junius & Rose, Llp",$350.00,Greystar
07/01/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$600.00,Contest Promotions
04/01/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$120.00,George Mcnabb
03/04/2014,"Junius, Andrew","Reuben, Junius & Rose, Llp",$500.00,Raintree Partners
04/14/2014,"Junius, Andrew","Reuben, Junius & Rose, Llp",$400.00,"447 Battery Street, Llc"
06/02/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$120.00,Contest Promotions
07/14/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$540.00,Jeremy Ricks
07/26/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$120.00,Contest Promotions
03/25/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$300.00,Mello-Roos
06/03/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$780.00,Contest Promotions
07/14/2014,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$135.00,Jeremy Ricks
03/21/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$420.00,Tmg Partners
02/03/2014,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$385.00,"Apple, Inc."
02/04/2014,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$105.00,"Apple, Inc."
06/17/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$240.00,Contest Promotions
06/13/2014,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$180.00,Gemdale Usa Corporation
08/13/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$720.00,Boston Properties
02/25/2014,"Junius, Andrew","Reuben, Junius & Rose, Llp",$700.00,Raintree Partners
09/15/2014,"Newman, John",John Newman,$12500.00,New South Parking
07/23/2014,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$450.00,437 Duncan Llc
07/21/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$120.00,Boston Properties
03/25/2014,"Junius, Andrew","Reuben, Junius & Rose, Llp",$150.00,Raintree Partners
03/05/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$120.00,Tmg Partners
07/21/2014,"Junius, Andrew","Reuben, Junius & Rose, Llp",$55.00,"581 Market Street Partners, Llc"
03/26/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$360.00,Mello-Roos
03/02/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$180.00,Tmg Partners
02/04/2014,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$580.00,"Apple, Inc."
08/08/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$840.00,Boston Properties
06/06/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$12.00,Contest Promotions
06/19/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$120.00,Contest Promotions
08/12/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$180.00,Boston Properties
04/21/2014,"Junius, Andrew","Reuben, Junius & Rose, Llp",$250.00,Greystar
07/15/2014,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$360.00,Jeremy Ricks
06/26/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$300.00,Mello-Roos
07/21/2014,"Junius, Andrew","Reuben, Junius & Rose, Llp",$55.00,Alecta Investment Management
07/22/2014,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$135.00,437 Duncan Llc
08/26/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$240.00,Boston Properties
02/05/2014,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$350.00,"Apple, Inc."
08/27/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$240.00,Boston Properties
09/30/2014,"Isbell, Reese",Baybio,$400.00,Baybio
07/21/2014,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$405.00,437 Duncan Llc
08/05/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$120.00,Boston Properties
06/04/2014,"Junius, Andrew","Reuben, Junius & Rose, Llp",$55.00,"447 Battery Street, Llc"
06/17/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$60.00,Beacon Capital Partners
02/04/2014,"Junius, Andrew","Reuben, Junius & Rose, Llp",$50.00,Sailors' Union Of The Pacific
04/29/2014,"Frattin, Daniel","Reuben, Junius & Rose, Llp",$315.00,Lubert-Adler Man
07/15/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$360.00,Jeremy Ricks
02/04/2014,"Junius, Andrew","Reuben, Junius & Rose, Llp",$50.00,"California Mortgage & Realty, Inc."
03/14/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$480.00,J2 Properties
02/11/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$55.00,Fuel Outdoor Llc
02/03/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$165.00,Hines Corporation
02/18/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$385.00,Boston Properties
02/20/2014,"Reuben, James","Reuben, Junius & Rose, Llp",$110.00,Gaehwiler Construction Inc.
