bioguide_id,full_name,party,office,state,district,senate_class,state_rank,terms_served,years_served,start_date,end_date,first_name,middle_name,last_name,birthdate,gender,religion,thomas_id,govtrack_id,opensecrets_id,lis_id,votesmart_id,cspan_id,icpsr_id,fec_ids,latest_fec_id,updated_at
A000056,Asa Adgate,Republican,rep,NY,12,,,0,201.07,1815-12-04 00:00:00,1817-03-03 00:00:00,Asa,,Adgate,1767-11-17,M,,,400716,,,,,47,,,2016-11-08T05:25:34.057249
A000057,Charles Adkins,Republican,rep,IL,19,,,4,87.46,1925-12-07 00:00:00,1933-03-03 00:00:00,Charles,,Adkins,1863-02-07,M,,,400717,,,,,48,,,2016-11-08T05:25:34.057249
A000058,Garnett Bowditch Adrain,Anti-Lecompton Democrat,rep,NJ,3,,,0,157.03,1857-12-07 00:00:00,1861-03-03 00:00:00,Garnett,Bowditch,Adrain,1815-12-15,M,,,400718,,,,,49,,,2016-11-08T05:25:34.057249
A000060,John Alexander Ahl,Democrat,rep,PA,16,,,0,159.03,1857-12-07 00:00:00,1859-03-03 00:00:00,John,Alexander,Ahl,1813-08-16,M,,,400720,,,,,50,,,2016-11-08T05:25:34.057249
A000061,David Wyatt Aiken,Democrat,rep,SC,3,,,6,135.59,1877-10-15 00:00:00,1887-03-03 00:00:00,David,Wyatt,Aiken,1828-03-17,M,,,400721,,,,,51,,,2016-11-08T05:25:34.057249
A000062,George David Aiken,Republican,sen,VT,,3,,8,69.89,1941-01-03 00:00:00,1975-01-03 00:00:00,George,David,Aiken,1892-08-20,M,,01270,400722,,,,,52,,,2016-11-08T05:25:34.057249
A000063,William Aiken,Democrat,rep,SC,2,,,2,162.3,1851-12-01 00:00:00,1857-03-03 00:00:00,William,,Aiken,1806-01-28,M,,,400723,,,,,53,,,2016-11-08T05:25:34.057249
A000064,Wyatt Aiken,Democrat,rep,SC,3,,,10,108.69,1903-11-09 00:00:00,1917-03-03 00:00:00,Wyatt,,Aiken,1863-12-14,M,,,400724,,,,,54,,,2016-11-08T05:25:34.057249
A000065,William David Blakeslee Ainey,Republican,rep,PA,14,,,0,103.66,1911-04-04 00:00:00,1915-03-03 00:00:00,William,David Blakeslee,Ainey,1864-04-08,M,,,400725,,,,,55,,,2016-11-08T05:25:34.057249
A000066,George Ainslie,Democrat,rep,ID,-1,,,0,135.02,1879-03-18 00:00:00,1883-03-03 00:00:00,George,,Ainslie,1838-10-30,M,,,400726,,,,,,,,2016-11-08T05:25:34.057249
A000067,Lucien Lester Ainsworth,Democrat,rep,IA,3,,,0,141.02,1875-12-06 00:00:00,1877-03-03 00:00:00,Lucien,Lester,Ainsworth,1831-06-21,M,,,400727,,,,,57,,,2016-11-08T05:25:34.057249
A000068,David Demerest Aitken,Republican,rep,MI,6,,,0,121.02,1893-08-07 00:00:00,1897-03-03 00:00:00,David,Demerest,Aitken,1853-09-05,M,,,400728,,,,,58,,,2016-11-08T05:25:34.057249
A000069,Daniel K. Akaka,Democrat,sen,HI,,1,,18,33.81,1977-01-04 00:00:00,2013-01-03 00:00:00,Daniel,Kahikina,Akaka,1924-09-11,M,Congregationalist,00007,300001,N00007653,S213,53286,8704,14400,S0HI00084,S0HI00084,2016-11-08T05:25:34.057249
A000070,Thomas Peter Akers,American,rep,MO,5,,,0,161.04,1855-12-03 00:00:00,1857-03-03 00:00:00,Thomas,Peter,Akers,1828-10-04,M,,,400729,,,,,59,,,2016-11-08T05:25:34.057249
A000071,Theron Akin,Progressive Republican,rep,NY,25,,,0,105.67,1911-04-04 00:00:00,1913-03-03 00:00:00,Theron,,Akin,1855-05-23,M,,,400730,,,,,60,,,2016-11-08T05:25:34.057249
A000072,Walter Hugh Albaugh,Republican,rep,OH,4,,,0,79.9,1937-01-05 00:00:00,1939-01-03 00:00:00,Walter,Hugh,Albaugh,1890-01-02,M,,,400731,,,,,61,,,2016-11-08T05:25:34.057249
A000073,Carl Bert Albert,Democrat,rep,OK,3,,,26,67.76,1947-01-03 00:00:00,1977-01-03 00:00:00,Carl,Bert,Albert,1908-05-10,M,,00008,400732,,,,,62,,,2016-11-08T05:25:34.057249
A000074,William Julian Albert,Republican,rep,MD,5,,,0,143.03,1873-12-01 00:00:00,1875-03-03 00:00:00,William,Julian,Albert,1816-08-04,M,,,400733,,,,,63,,,2016-11-08T05:25:34.057249
A000075,Nathaniel Albertson,Democrat,rep,IN,1,,,0,167.04,1849-12-03 00:00:00,1851-03-03 00:00:00,Nathaniel,,Albertson,1800-06-10,M,,,400734,,,,,64,,,2016-11-08T05:25:34.057249
A000076,Donald Joseph Albosta,Democrat,rep,MI,10,,,2,35.84,1979-01-15 00:00:00,1985-01-03 00:00:00,Donald,Joseph,Albosta,1925-12-05,M,,00009,400735,,,,,14600,,,2016-11-08T05:25:34.057249
A000077,Charles Albright,Republican,rep,PA,-1,,,0,143.03,1873-12-01 00:00:00,1875-03-03 00:00:00,Charles,,Albright,1830-12-13,M,,,400736,,,,,65,,,2016-11-08T05:25:34.057249
A000078,Charles Jefferson Albright,Ind. Republican-Democrat,rep,OH,17,,,0,161.04,1855-12-03 00:00:00,1857-03-03 00:00:00,Charles,Jefferson,Albright,1816-05-09,M,,,400737,,,,,66,,,2016-11-08T05:25:34.057249
A000079,James Lusk Alcorn,Republican,sen,MS,,2,,0,145.78,1871-03-04 00:00:00,1877-03-03 00:00:00,James,Lusk,Alcorn,1816-11-04,M,,,400738,,,,,67,,,2016-11-08T05:25:34.057249
A000080,John Duffy Alderson,Democrat,rep,WV,3,,,2,124.59,1889-12-02 00:00:00,1895-03-03 00:00:00,John,Duffy,Alderson,1854-11-29,M,,,400739,,,,,68,,,2016-11-08T05:25:34.057249
A000081,Cyrus Aldrich,Republican,rep,MN,-1,,,0,155.45,1859-12-05 00:00:00,1863-03-03 00:00:00,Cyrus,,Aldrich,1808-06-18,M,,,400740,,,,,69,,,2016-11-08T05:25:34.057249
A000082,James Franklin Aldrich,Republican,rep,IL,1,,,0,121.02,1893-08-07 00:00:00,1897-03-03 00:00:00,James,Franklin,Aldrich,1853-04-06,M,,,400741,,,,,70,,,2016-11-08T05:25:34.057249
A000083,Nelson Wilmarth Aldrich,Republican,sen,RI,,1,,10,130.27,1879-03-18 00:00:00,1911-03-03 00:00:00,Nelson,Wilmarth,Aldrich,1841-11-06,M,,,400742,,,,,71,,,2016-11-08T05:25:34.057249
A000084,Richard Steere Aldrich,Republican,rep,RI,2,,,6,88.71,1923-12-03 00:00:00,1933-03-03 00:00:00,Richard,Steere,Aldrich,1884-02-29,M,,,400743,,,,,72,,,2016-11-08T05:25:34.057249
A000085,Truman Heminway Aldrich,Republican,rep,AL,9,,,0,121.02,1895-12-02 00:00:00,1897-03-03 00:00:00,Truman,Heminway,Aldrich,1848-10-17,M,,,400744,,,,,73,,,2016-11-08T05:25:34.057249
A000086,William Aldrich,Republican,rep,IL,1,,,2,136.4,1877-10-15 00:00:00,1883-03-03 00:00:00,William,,Aldrich,1820-01-19,M,,,400745,,,,,74,,,2016-11-08T05:25:34.057249
A000087,William Farrington Aldrich,Republican,rep,AL,4,,,2,118.26,1895-12-02 00:00:00,1901-03-03 00:00:00,William,Farrington,Aldrich,1853-03-11,M,,,400746,,,,,75,,,2016-11-08T05:25:34.057249
A000088,Arthur William Aleshire,Democrat,rep,OH,7,,,0,79.9,1937-01-05 00:00:00,1939-01-03 00:00:00,Arthur,William,Aleshire,1900-02-15,M,,,400747,,,,,76,,,2016-11-08T05:25:34.057249
A000089,Adam Rankin Alexander,Jackson,rep,TN,9,,,0,191.05,1823-12-01 00:00:00,1827-03-03 00:00:00,Adam,Rankin,Alexander,1781-11-01,M,,,400748,,,,,77,,,2016-11-08T05:25:34.057249
A000090,Armstead Milton Alexander,Democrat,rep,MO,2,,,0,133.02,1883-12-03 00:00:00,1885-03-03 00:00:00,Armstead,Milton,Alexander,1834-05-26,M,,,400749,,,,,78,,,2016-11-08T05:25:34.057249
A000091,De Alva Stanwood Alexander,Republican,rep,NY,36,,,10,114.75,1897-03-15 00:00:00,1911-03-03 00:00:00,De,Alva Stanwood,Alexander,1846-07-17,M,,,400750,,,,,79,,,2016-11-08T05:25:34.057249
A000092,Evan Shelby Alexander,Republican,rep,NC,10,,,0,209.18,1806-02-24 00:00:00,1809-03-03 00:00:00,Evan,Shelby,Alexander,,M,,,412132,,,,,80,,,2016-11-08T05:25:34.057249
A000093,Henry Porteous Alexander,Whig,rep,NY,17,,,0,167.04,1849-12-03 00:00:00,1851-03-03 00:00:00,Henry,Porteous,Alexander,1801-09-13,M,,,400751,,,,,81,,,2016-11-08T05:25:34.057249
A000094,Hugh Quincy Alexander,Democrat,rep,NC,9,,,6,61.88,1953-01-03 00:00:00,1963-01-03 00:00:00,Hugh,Quincy,Alexander,1911-08-07,M,,,400752,,,,,82,,,2016-11-08T05:25:34.057249
A000095,James Alexander,Whig,rep,OH,11,,,0,179.3,1837-09-04 00:00:00,1839-03-03 00:00:00,James,,Alexander,1789-10-17,M,,,400753,,,,,83,,,2016-11-08T05:25:34.057249
A000096,John Alexander,Republican,rep,OH,2,,,0,201.07,1813-05-24 00:00:00,1817-03-03 00:00:00,John,,Alexander,1777-04-16,M,,,400754,,,,,84,,,2016-11-08T05:25:34.057249
A000097,John Grant Alexander,Republican,rep,MN,3,,,0,77.9,1939-01-03 00:00:00,1941-01-03 00:00:00,John,Grant,Alexander,1893-07-16,M,,,400755,,,,,85,,,2016-11-08T05:25:34.057249
A000098,Joshua Willis Alexander,Democrat,rep,MO,3,,,10,105.82,1907-12-02 00:00:00,1921-03-03 00:00:00,Joshua,Willis,Alexander,1852-01-22,M,,,400756,,,,,86,,,2016-11-08T05:25:34.057249
A000099,Mark Alexander,Jackson,rep,VA,4,,,10,191.28,1819-12-06 00:00:00,1833-03-03 00:00:00,Mark,,Alexander,1792-02-07,M,,,400757,,,,,87,,,2016-11-08T05:25:34.057249
A000100,Nathaniel Alexander,Republican,rep,NC,10,,,0,213.83,1803-03-04 00:00:00,1805-03-03 00:00:00,Nathaniel,,Alexander,1756-03-05,M,,,400758,,,,,88,,,2016-11-08T05:25:34.057249
A000102,Sydenham Benoni Alexander,Democrat,rep,NC,6,,,0,123.34,1891-12-07 00:00:00,1895-03-03 00:00:00,Sydenham,Benoni,Alexander,1840-12-08,M,,,400760,,,,,90,,,2016-11-08T05:25:34.057249
A000103,William Vollie Alexander,Democrat,rep,AR,1,,,20,45.75,1969-01-03 00:00:00,1993-01-03 00:00:00,William,Vollie,Alexander,1934-01-16,M,,00010,400761,,,,,12000,,,2016-11-08T05:25:34.057249
A000104,Julius Caesar Alford,Whig,rep,GA,-1,,,2,176.8,1835-12-07 00:00:00,1843-03-03 00:00:00,Julius,Caesar,Alford,1799-05-10,M,,,400762,,,,,91,,,2016-11-08T05:25:34.057249
A000105,Thomas Dale Alford,Democrat,rep,AR,5,,,0,55.88,1959-01-07 00:00:00,1963-01-03 00:00:00,Thomas,Dale,Alford,1916-01-28,M,,,400763,,,,,92,,,2016-11-08T05:25:34.057249
A000106,Bruce Reynolds Alger,Republican,rep,TX,5,,,6,59.86,1955-01-05 00:00:00,1965-01-03 00:00:00,Bruce,Reynolds,Alger,1918-06-12,M,,,400764,,,,,93,,,2016-11-08T05:25:34.057249
A000107,Russell Alexander Alger,Republican,sen,MI,,2,,0,114.93,1902-01-01 00:00:00,1907-03-03 00:00:00,Russell,Alexander,Alger,1836-02-27,M,,,400765,,,,,94,,,2016-11-08T05:25:34.057249
A000108,Chilton Allan,Whig,rep,KY,10,,,2,182.29,1831-12-05 00:00:00,1837-03-03 00:00:00,Chilton,,Allan,1786-04-06,M,,,400766,,,,,95,,,2016-11-08T05:25:34.057249
A000109,Wayne A. Allard,Republican,sen,CO,,2,,6,19.84,1991-01-03 00:00:00,2009-01-03 00:00:00,Wayne,A.,Allard,1943-12-02,M,Protestant,00011,300003,N00009082,S250,26783,,29108,S6CO00168,S6CO00168,2016-11-08T05:25:34.057249
A000110,James Frank Allee,Republican,sen,DE,,2,,0,113.08,1903-11-09 00:00:00,1907-03-03 00:00:00,James,Frank,Allee,1857-12-02,M,,,400767,,,,,96,,,2016-11-08T05:25:34.057249
A000111,Alfred Gaither Allen,Democrat,rep,OH,2,,,2,102.91,1911-04-04 00:00:00,1917-03-03 00:00:00,Alfred,Gaither,Allen,1867-07-23,M,,,400768,,,,,97,,,2016-11-08T05:25:34.057249
A000112,Amos Lawrence Allen,Republican,rep,ME,1,,,8,112.78,1899-12-04 00:00:00,1911-03-03 00:00:00,Amos,Lawrence,Allen,1837-03-17,M,,,400769,,,,,98,,,2016-11-08T05:25:34.057249
A000114,Asa Leonard Allen,Democrat,rep,LA,8,,,12,77.89,1937-01-05 00:00:00,1953-01-03 00:00:00,Asa,Leonard,Allen,1891-01-05,M,,,400771,,,,,100,,,2016-11-08T05:25:34.057249
A000115,Charles Allen,Free Soil,rep,MA,5,,,0,165.05,1849-12-03 00:00:00,1853-03-03 00:00:00,Charles,,Allen,1797-08-09,M,,,400772,,,,,101,,,2016-11-08T05:25:34.057249
A000116,Charles Herbert Allen,Republican,rep,MA,8,,,0,129.01,1885-12-07 00:00:00,1889-03-03 00:00:00,Charles,Herbert,Allen,1848-04-15,M,,,400773,,,,,102,,,2016-11-08T05:25:34.057249
A000117,Clarence Emir Allen,Republican,rep,UT,1,,,0,121.02,1895-12-02 00:00:00,1897-03-03 00:00:00,Clarence,Emir,Allen,1852-09-08,M,,,400774,,,,,103,,,2016-11-08T05:25:34.057249
A000118,Clifford Robertson Allen,Democrat,rep,TN,5,,,0,39.87,1975-01-14 00:00:00,1979-01-03 00:00:00,Clifford,Robertson,Allen,1912-01-06,M,,00012,400775,,,,,14286,,,2016-11-08T05:25:34.057249
A000119,Edward Payson Allen,Republican,rep,MI,2,,,0,127.02,1887-12-05 00:00:00,1891-03-03 00:00:00,Edward,Payson,Allen,1839-10-28,M,,,400776,,,,,104,,,2016-11-08T05:25:34.057249
A000120,Elisha Hunt Allen,Whig,rep,ME,8,,,0,175.56,1841-05-31 00:00:00,1843-03-03 00:00:00,Elisha,Hunt,Allen,1804-01-28,M,,,400777,,,,,105,,,2016-11-08T05:25:34.057249
A000121,George Felix Allen,Republican,sen,VA,,1,,0,15.86,1991-11-05 00:00:00,2007-01-03 00:00:00,George,Felix,Allen,1952-03-08,M,Presbyterian,00013,300004,N00009957,S274,22404,,29148,,,2016-11-08T05:25:34.057249
A000122,Heman Allen,Republican,rep,VT,0,,,0,199.07,1817-12-01 00:00:00,1819-03-03 00:00:00,Heman,,Allen,1779-02-23,M,,,400778,,,,,107,,,2016-11-08T05:25:34.057249
A000123,Heman Allen,Whig,rep,VT,4,,,4,181.79,1831-12-05 00:00:00,1839-03-03 00:00:00,Heman,,Allen,1777-06-14,M,,,400779,,,,,106,,,2016-11-08T05:25:34.057249
A000124,Henry Crosby Allen,Republican,rep,NJ,6,,,0,111.01,1905-12-04 00:00:00,1907-03-03 00:00:00,Henry,Crosby,Allen,1872-05-13,M,,,400780,,,,,108,,,2016-11-08T05:25:34.057249
A000125,Henry Dixon Allen,Democrat,rep,KY,2,,,0,115.01,1899-12-04 00:00:00,1903-03-03 00:00:00,Henry,Dixon,Allen,1854-06-24,M,,,400781,,,,,109,,,2016-11-08T05:25:34.057249
A000126,Henry Justin Allen,Republican,sen,KS,,3,,0,87.63,1929-04-15 00:00:00,1931-03-03 00:00:00,Henry,Justin,Allen,1868-09-11,M,,,400782,,,,,110,,,2016-11-08T05:25:34.057249
A000127,James Browning Allen,Democrat,sen,AL,,3,,0,41.85,1969-01-03 00:00:00,1979-01-03 00:00:00,James,Browning,Allen,1912-12-28,M,,01271,400783,,,,,12100,,,2016-11-08T05:25:34.057249
A000128,James Cameron Allen,Democrat,rep,IL,-1,,,2,154.27,1853-12-05 00:00:00,1865-03-03 00:00:00,James,Cameron,Allen,1822-01-29,M,,,400784,,,,,111,,,2016-11-08T05:25:34.057249
A000129,John Allen,Federalist,rep,CT,-1,,,0,219.63,1797-05-15 00:00:00,1799-03-03 00:00:00,John,,Allen,1763-06-12,M,,,400785,,,,,112,,,2016-11-08T05:25:34.057249
